2004 Federal Election House of Representatives First Preferences By Candidate By Polling Place for VIC [12246 8/11/2005 11:07:54 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
VIC,197,Aston,38413,Rowville Central,15161,AYLIFFE,Nahum,7,,DEM,Democrats,13,-5.89
VIC,197,Aston,38413,Rowville Central,999,Informal,Informal,999,,,Informal,70,1.08
VIC,197,Aston,2964,Rowville East,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,15,0.41
VIC,197,Aston,2964,Rowville East,15032,ABSON,Michael,2,,GRN,Australian Greens,111,1.79
VIC,197,Aston,2964,Rowville East,14771,NATHAN,Peter,3,,FFP,Family First,65,2.31
VIC,197,Aston,2964,Rowville East,14255,PEARCE,Chris,4,#,LP,Liberal,1661,8.99
VIC,197,Aston,2964,Rowville East,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,928,-6.48
VIC,197,Aston,2964,Rowville East,15463,BREWER,Nevil,6,,NGST,No GST,9,0.32
VIC,197,Aston,2964,Rowville East,15161,AYLIFFE,Nahum,7,,DEM,Democrats,25,-6.63
VIC,197,Aston,2964,Rowville East,999,Informal,Informal,999,,,Informal,161,1.58
VIC,197,Aston,2965,Scoresby,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,17,0.28
VIC,197,Aston,2965,Scoresby,15032,ABSON,Michael,2,,GRN,Australian Greens,138,1.7
VIC,197,Aston,2965,Scoresby,14771,NATHAN,Peter,3,,FFP,Family First,85,2.88
VIC,197,Aston,2965,Scoresby,14255,PEARCE,Chris,4,#,LP,Liberal,1657,8.95
VIC,197,Aston,2965,Scoresby,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,995,-6.44
VIC,197,Aston,2965,Scoresby,15463,BREWER,Nevil,6,,NGST,No GST,28,0.95
VIC,197,Aston,2965,Scoresby,15161,AYLIFFE,Nahum,7,,DEM,Democrats,29,-6.8
VIC,197,Aston,2965,Scoresby,999,Informal,Informal,999,,,Informal,146,1.45
VIC,197,Aston,31619,Special Hospital Team 1,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,3,2.56
VIC,197,Aston,31619,Special Hospital Team 1,15032,ABSON,Michael,2,,GRN,Australian Greens,3,1.19
VIC,197,Aston,31619,Special Hospital Team 1,14771,NATHAN,Peter,3,,FFP,Family First,2,1.71
VIC,197,Aston,31619,Special Hospital Team 1,14255,PEARCE,Chris,4,#,LP,Liberal,83,3.82
VIC,197,Aston,31619,Special Hospital Team 1,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,25,-6.03
VIC,197,Aston,31619,Special Hospital Team 1,15463,BREWER,Nevil,6,,NGST,No GST,0,0
VIC,197,Aston,31619,Special Hospital Team 1,15161,AYLIFFE,Nahum,7,,DEM,Democrats,1,-0.52
VIC,197,Aston,31619,Special Hospital Team 1,999,Informal,Informal,999,,,Informal,9,5.79
VIC,197,Aston,31620,Special Hospital Team 2,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,2,1.67
VIC,197,Aston,31620,Special Hospital Team 2,15032,ABSON,Michael,2,,GRN,Australian Greens,0,-1.4
VIC,197,Aston,31620,Special Hospital Team 2,14771,NATHAN,Peter,3,,FFP,Family First,1,0.83
VIC,197,Aston,31620,Special Hospital Team 2,14255,PEARCE,Chris,4,#,LP,Liberal,78,-2.13
VIC,197,Aston,31620,Special Hospital Team 2,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,37,4.26
VIC,197,Aston,31620,Special Hospital Team 2,15463,BREWER,Nevil,6,,NGST,No GST,0,0
VIC,197,Aston,31620,Special Hospital Team 2,15161,AYLIFFE,Nahum,7,,DEM,Democrats,2,-0.43
VIC,197,Aston,31620,Special Hospital Team 2,999,Informal,Informal,999,,,Informal,6,3.38
VIC,197,Aston,2969,Studfield East,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,22,0.48
VIC,197,Aston,2969,Studfield East,15032,ABSON,Michael,2,,GRN,Australian Greens,155,1.71
VIC,197,Aston,2969,Studfield East,14771,NATHAN,Peter,3,,FFP,Family First,69,2.48
VIC,197,Aston,2969,Studfield East,14255,PEARCE,Chris,4,#,LP,Liberal,1514,9.17
VIC,197,Aston,2969,Studfield East,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,964,-7.54
VIC,197,Aston,2969,Studfield East,15463,BREWER,Nevil,6,,NGST,No GST,19,0.68
VIC,197,Aston,2969,Studfield East,15161,AYLIFFE,Nahum,7,,DEM,Democrats,34,-5.93
VIC,197,Aston,2969,Studfield East,999,Informal,Informal,999,,,Informal,152,1.47
VIC,197,Aston,2970,Templeton,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,11,0.22
VIC,197,Aston,2970,Templeton,15032,ABSON,Michael,2,,GRN,Australian Greens,77,1.6
VIC,197,Aston,2970,Templeton,14771,NATHAN,Peter,3,,FFP,Family First,56,3.01
VIC,197,Aston,2970,Templeton,14255,PEARCE,Chris,4,#,LP,Liberal,1034,6.69
VIC,197,Aston,2970,Templeton,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,647,-7.12
VIC,197,Aston,2970,Templeton,15463,BREWER,Nevil,6,,NGST,No GST,14,0.75
VIC,197,Aston,2970,Templeton,15161,AYLIFFE,Nahum,7,,DEM,Democrats,24,-4.73
VIC,197,Aston,2970,Templeton,999,Informal,Informal,999,,,Informal,99,1.88
VIC,197,Aston,3582,Vermont,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,3,0.14
VIC,197,Aston,3582,Vermont,15032,ABSON,Michael,2,,GRN,Australian Greens,69,3.25
VIC,197,Aston,3582,Vermont,14771,NATHAN,Peter,3,,FFP,Family First,17,2.13
VIC,197,Aston,3582,Vermont,14255,PEARCE,Chris,4,#,LP,Liberal,447,5.97
VIC,197,Aston,3582,Vermont,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,244,-1.84
VIC,197,Aston,3582,Vermont,15463,BREWER,Nevil,6,,NGST,No GST,4,0.5
VIC,197,Aston,3582,Vermont,15161,AYLIFFE,Nahum,7,,DEM,Democrats,13,-8.95
VIC,197,Aston,3582,Vermont,999,Informal,Informal,999,,,Informal,20,-0.01
VIC,197,Aston,2971,Wantirna,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,14,0.6
VIC,197,Aston,2971,Wantirna,15032,ABSON,Michael,2,,GRN,Australian Greens,106,2.07
VIC,197,Aston,2971,Wantirna,14771,NATHAN,Peter,3,,FFP,Family First,66,3.05
VIC,197,Aston,2971,Wantirna,14255,PEARCE,Chris,4,#,LP,Liberal,1314,7.26
VIC,197,Aston,2971,Wantirna,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,630,-7.17
VIC,197,Aston,2971,Wantirna,15463,BREWER,Nevil,6,,NGST,No GST,14,0.65
VIC,197,Aston,2971,Wantirna,15161,AYLIFFE,Nahum,7,,DEM,Democrats,17,-5.52
VIC,197,Aston,2971,Wantirna,999,Informal,Informal,999,,,Informal,111,1.9
VIC,197,Aston,2973,Wantirna Central,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,19,0.14
VIC,197,Aston,2973,Wantirna Central,15032,ABSON,Michael,2,,GRN,Australian Greens,150,2.06
VIC,197,Aston,2973,Wantirna Central,14771,NATHAN,Peter,3,,FFP,Family First,82,2.76
VIC,197,Aston,2973,Wantirna Central,14255,PEARCE,Chris,4,#,LP,Liberal,1813,7.54
VIC,197,Aston,2973,Wantirna Central,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,859,-6.23
VIC,197,Aston,2973,Wantirna Central,15463,BREWER,Nevil,6,,NGST,No GST,12,0.4
VIC,197,Aston,2973,Wantirna Central,15161,AYLIFFE,Nahum,7,,DEM,Democrats,33,-5.53
VIC,197,Aston,2973,Wantirna Central,999,Informal,Informal,999,,,Informal,86,-0.5
VIC,197,Aston,2972,Wantirna Heights,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,5,-0.26
VIC,197,Aston,2972,Wantirna Heights,15032,ABSON,Michael,2,,GRN,Australian Greens,39,-0.04
VIC,197,Aston,2972,Wantirna Heights,14771,NATHAN,Peter,3,,FFP,Family First,31,2.57
VIC,197,Aston,2972,Wantirna Heights,14255,PEARCE,Chris,4,#,LP,Liberal,732,8.33
VIC,197,Aston,2972,Wantirna Heights,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,380,-4.72
VIC,197,Aston,2972,Wantirna Heights,15463,BREWER,Nevil,6,,NGST,No GST,9,0.75
VIC,197,Aston,2972,Wantirna Heights,15161,AYLIFFE,Nahum,7,,DEM,Democrats,9,-5.36
VIC,197,Aston,2972,Wantirna Heights,999,Informal,Informal,999,,,Informal,63,1.94
VIC,197,Aston,2974,Wantirna South,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,20,0.58
VIC,197,Aston,2974,Wantirna South,15032,ABSON,Michael,2,,GRN,Australian Greens,84,1.42
VIC,197,Aston,2974,Wantirna South,14771,NATHAN,Peter,3,,FFP,Family First,65,2.69
VIC,197,Aston,2974,Wantirna South,14255,PEARCE,Chris,4,#,LP,Liberal,1434,7.44
VIC,197,Aston,2974,Wantirna South,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,787,-4.71
VIC,197,Aston,2974,Wantirna South,15463,BREWER,Nevil,6,,NGST,No GST,9,0.37
VIC,197,Aston,2974,Wantirna South,15161,AYLIFFE,Nahum,7,,DEM,Democrats,17,-6.7
VIC,197,Aston,2974,Wantirna South,999,Informal,Informal,999,,,Informal,114,1.65
VIC,197,Aston,2966,Watersedge,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,9,0.6
VIC,197,Aston,2966,Watersedge,15032,ABSON,Michael,2,,GRN,Australian Greens,52,0.8
VIC,197,Aston,2966,Watersedge,14771,NATHAN,Peter,3,,FFP,Family First,42,3.57
